iter	Passed	Remaining
0	1	103
1	1	95
2	2	91
3	3	92
4	5	98
5	6	102
6	7	103
7	8	100
8	10	103
9	11	103
10	12	101
11	13	97
12	14	94
13	15	92
14	16	94
15	17	93
16	19	93
17	20	93
18	21	91
19	22	90
20	23	88
21	24	85
22	25	85
23	26	83
24	27	81
25	28	80
26	28	78
27	29	76
28	30	75
29	31	73
30	32	72
31	33	70
32	34	70
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	65
39	42	63
40	43	63
41	44	61
42	45	60
43	46	58
44	46	57
45	47	56
46	48	54
47	49	54
48	50	52
49	51	51
50	52	50
51	54	50
52	55	49
53	56	47
54	56	46
55	57	45
56	58	44
57	59	43
58	61	42
59	62	41
60	63	40
61	64	39
62	64	38
63	65	36
64	66	35
65	67	34
66	68	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	76	25
75	77	24
76	78	23
77	79	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	91	12
88	92	11
89	93	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
